Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Latitude1,Longitude1,Elevation1,Placement
"Lunayyir, Harrat",https://volcano.si.edu/gallery/photos/GVP-10433.jpg,Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,1000 CE,"1370 m, 4495 ft",25.17°N,37.75°E,234,234,234,61662,25.17,37.75,1370,On land
"Marha, Jabal el-",https://volcano.si.edu/gallery/photos/GVP-12583.jpg,Tuff cone,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,Unknown - Evidence Uncertain,"2506 m, 8222 ft",15.245°N,44.236°E,7617,215379,2502680,6484784,15.245,44.236,2506,On land
Marion Island,https://volcano.si.edu/gallery/photos/GVP-11394.jpg,Shield(s),South Africa,Middle East and Indian Ocean,Indian Ocean (southern),holocene,2004 CE,"1230 m, 4035 ft",46.9°S,37.75°E,0,0,0,0,-46.9,37.75,1230,On land
Mayotte,https://volcano.si.edu/gallery/photos/GVP-12589.jpg,Shield,France,Middle East and Indian Ocean,Indian Ocean (western),holocene,2019 CE,"660 m, 2165 ft",12.83°S,45.17°E,,,,,-12.83,45.17,660,On land
McDonald Islands,https://volcano.si.edu/gallery/photos/GVP-08788.jpg,Complex,Australia,Middle East and Indian Ocean,Indian Ocean (southern),holocene,2005 CE,"230 m, 755 ft",53.03°S,72.6°E,0,0,0,0,-53.03,72.6,230,On land
Nosy-Be,https://volcano.si.edu/gallery/photos/GVP-10421.jpg,Pyroclastic cone(s),Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,"214 m, 702 ft",13.32°S,48.48°E,14015,14015,61656,396548,-13.32,48.48,214,On land
"Possession, Ile de la",https://volcano.si.edu/gallery/photos/GVP-11207.jpg,Stratovolcano,France,Middle East and Indian Ocean,Indian Ocean (southern),holocene,Unknown - Evidence Credible,"934 m, 3064 ft",46.42°S,51.75°E,0,0,0,0,-46.42,51.75,934,On land
Prince Edward Island,https://volcano.si.edu/gallery/photos/GVP-12592.jpg,Shield,South Africa,Middle East and Indian Ocean,Indian Ocean (southern),holocene,Unknown - Evidence Credible,"672 m, 2205 ft",46.63°S,37.95°E,0,0,0,0,-46.63,37.95,672,On land
"Rahat, Harrat",https://volcano.si.edu/gallery/photos/GVP-10439.jpg,Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,1256 CE,"1744 m, 5722 ft",23.08°N,39.78°E,138380,1010115,1010115,1010115,23.08,39.78,1744,On land
Sabalan,https://volcano.si.edu/gallery/photos/GVP-12131.jpg,Stratovolcano,Iran,Middle East and Indian Ocean,Middle East (western),holocene,Unknown - Evidence Credible,"4784 m, 15696 ft",38.268°N,47.835°E,136,762,103605,1961046,38.268,47.835,4784,On land
Sahand,https://volcano.si.edu/gallery/photos/GVP-10442.jpg,Stratovolcano,Iran,Middle East and Indian Ocean,Middle East (western),holocene,Unknown - Evidence Credible,"3707 m, 12162 ft",37.75°N,46.43°E,163,1449,60328,2878308,37.75,46.43,3707,On land
"Sawad, Harra Es-",https://volcano.si.edu/gallery/photos/GVP-12586.jpg,Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,1253 CE,"1737 m, 5699 ft",13.58°N,46.12°E,74598,74598,74598,850297,13.58,46.12,1737,On land
Sharat Kovakab,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Syria,Middle East and Indian Ocean,Middle East (western),holocene,Unknown - Evidence Credible,"516 m, 1693 ft",36.536°N,40.858°E,176268,176268,228172,1826752,36.536,40.858,516,On land
St. Paul,https://volcano.si.edu/gallery/photos/GVP-11075.jpg,Stratovolcano,France,Middle East and Indian Ocean,Indian Ocean (southern),holocene,1793 CE,"268 m, 879 ft",38.72°S,77.53°E,0,0,0,0,-38.72,77.53,268,On land
Taftan,https://volcano.si.edu/gallery/photos/GVP-10450.jpg,Stratovolcano,Iran,Middle East and Indian Ocean,Middle East (eastern),holocene,Unknown - Evidence Credible,"3940 m, 12927 ft",28.6°N,61.13°E,8,132,8118,191711,28.6,61.13,3940,On land
Vakinankaratra,https://volcano.si.edu/gallery/photos/GVP-11475.jpg,Pyroclastic cone(s),Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,"2644 m, 8675 ft",19.85°S,46.942°E,123192,123192,413328,5184370,-19.85,46.942,2644,On land
"Yar, Jabal",https://volcano.si.edu/gallery/photos/GVP-12580.jpg,Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,1810 CE,"305 m, 1001 ft",17.05°N,42.83°E,292582,292582,574162,2204954,17.05,42.83,305,On land
Auckland Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-08806.jpg,Volcanic field,New Zealand,New Zealand to Fiji,New Zealand,holocene,1446 CE,"260 m, 853 ft",36.89°S,174.81°E,1049110,1049110,1222436,1446768,-36.89,174.81,260,On land
Brothers,https://volcano.si.edu/gallery/photos/GVP-11869.jpg,Submarine,New Zealand,New Zealand to Fiji,New Zealand,holocene,Unknown - Unrest / Holocene,"-1350 m, -4429 ft",34.875°S,179.075°E,0,0,0,0,-34.875,179.075,-1350,Underwater
Clark,https://volcano.si.edu/gallery/photos/GVP-11871.jpg,Submarine,New Zealand,New Zealand to Fiji,New Zealand,holocene,Unknown - Unrest / Holocene,"-860 m, -2822 ft",36.446°S,177.839°E,0,0,0,0,-36.446,177.839,-860,Underwater
Curacoa,https://volcano.si.edu/gallery/photos/GVP-00501.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1979 CE,"-33 m, -108 ft",15.62°S,173.67°W,0,0,37,1755,-15.62,-173.67,-33,Underwater
Curtis Island,https://volcano.si.edu/gallery/photos/GVP-11155.jpg,Submarine,New Zealand,New Zealand to Fiji,Kermadec Islands,holocene,Unknown - Unrest / Holocene,"47 m, 154 ft",30.543°S,178.556°W,0,0,0,0,-30.543,-178.556,47,On land
Dugong,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,Unknown - Evidence Uncertain,"-1170 m, -3839 ft",15.431°S,175.725°W,,,,,-15.431,-175.725,-1170,Underwater
Fonuafo'ou,https://volcano.si.edu/gallery/photos/GVP-10788.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1936 CE,"-17 m, -56 ft",20.32°S,175.42°W,302,302,532,69016,-20.32,-175.42,-17,Underwater
Fonualei,https://volcano.si.edu/gallery/photos/GVP-10790.jpg,Stratovolcano,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1957 CE,"188 m, 617 ft",18.023°S,174.317°W,71,71,91,17857,-18.023,-174.317,188,On land
Giggenbach,https://volcano.si.edu/gallery/photos/GVP-11872.jpg,Submarine,New Zealand,New Zealand to Fiji,Kermadec Islands,holocene,Unknown - Unrest / Holocene,"-65 m, -213 ft",30.036°S,178.712°W,0,0,0,0,-30.036,-178.712,-65,Underwater
Havre Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,New Zealand,New Zealand to Fiji,Kermadec Islands,holocene,2012 CE,"-897 m, -2943 ft",31.08°S,179.033°W,,,,,-31.08,-179.033,-897,Underwater
Healy,https://volcano.si.edu/gallery/photos/GVP-11691.jpg,Submarine,New Zealand,New Zealand to Fiji,New Zealand,holocene,1360 CE,"-980 m, -3215 ft",35.004°S,178.973°E,0,0,0,0,-35.004,178.973,-980,Underwater
Home Reef,https://volcano.si.edu/gallery/photos/GVP-11956.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2006 CE,"-10 m, -33 ft",18.992°S,174.775°W,0,0,142,21334,-18.992,-174.775,-10,Underwater
Hunga Tonga-Hunga Ha'apai,https://volcano.si.edu/gallery/photos/GVP-10791.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2022 CE,"114 m, 374 ft",20.536°S,175.382°W,230,230,532,86213,-20.536,-175.382,114,On land
Kaikohe-Bay of Islands,https://volcano.si.edu/gallery/photos/GVP-00331.jpg,Volcanic field,New Zealand,New Zealand to Fiji,New Zealand,holocene,400 CE,"388 m, 1273 ft",35.3°S,173.9°E,13786,13786,18679,133899,-35.3,173.9,388,On land
Kao,https://volcano.si.edu/gallery/photos/GVP-11432.jpg,Stratovolcano,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1847 CE,"1009 m, 3310 ft",19.668°S,175.016°W,236,1170,1563,8602,-19.668,-175.016,1009,On land
Koro,https://volcano.si.edu/gallery/photos/GVP-10430.jpg,Pyroclastic cone(s),Fiji,New Zealand to Fiji,Fiji Islands,holocene,Unknown - Evidence Uncertain,"522 m, 1713 ft",17.32°S,179.4°E,621,1759,1761,141037,-17.32,179.4,522,On land
Late,https://volcano.si.edu/gallery/photos/GVP-10792.jpg,Stratovolcano,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1854 CE,"540 m, 1772 ft",18.806°S,174.65°W,158,158,158,17190,-18.806,-174.65,540,On land
Lateiki,https://volcano.si.edu/gallery/photos/GVP-01627.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2019 CE,"43 m, 141 ft",19.18°S,174.87°W,18,18,18,7907,-19.18,-174.87,43,On land
Lobster,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,Unknown - Evidence Uncertain,"-1500 m, -4921 ft",15.333°S,176.283°W,,,,,-15.333,-176.283,-1500,Underwater
Macauley,https://volcano.si.edu/gallery/photos/GVP-11693.jpg,Caldera,New Zealand,New Zealand to Fiji,Kermadec Islands,holocene,4360 BCE,"238 m, 781 ft",30.21°S,178.475°W,0,0,0,0,-30.21,-178.475,238,On land
Mayor Island,https://volcano.si.edu/gallery/photos/GVP-11767.jpg,Shield,New Zealand,New Zealand to Fiji,New Zealand,holocene,5060 BCE,"355 m, 1165 ft",37.28°S,176.25°E,105,105,141,355290,-37.28,176.25,355,On land
Monowai,https://volcano.si.edu/gallery/photos/GVP-11689.jpg,Stratovolcano,New Zealand,New Zealand to Fiji,Kermadec Islands,holocene,2012 CE,"-132 m, -433 ft",25.887°S,177.188°W,0,0,0,0,-25.887,-177.188,-132,Underwater
Nabukelevu,https://volcano.si.edu/gallery/photos/GVP-11077.jpg,Lava dome(s),Fiji,New Zealand to Fiji,Fiji Islands,holocene,1660 CE,"805 m, 2641 ft",19.12°S,177.98°E,269,1379,4523,21730,-19.12,177.98,805,On land
Niuafo'ou,https://volcano.si.edu/gallery/photos/GVP-10800.jpg,Shield,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1985 CE,"260 m, 853 ft",15.6°S,175.63°W,118,155,155,155,-15.6,-175.63,260,On land
Niuatahi,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Tonga,New Zealand to Fiji,Tonga Islands,holocene,Unknown - Unrest / Holocene,"-1270 m, -4167 ft",15.379°S,174.003°W,,,,,-15.379,-174.003,-1270,Underwater
Ofu-Olosega,https://volcano.si.edu/gallery/photos/GVP-12010.jpg,Shield(s),United States,New Zealand to Fiji,Samoan and Wallis Islands,holocene,1866 CE,"639 m, 2096 ft",14.175°S,169.618°W,220,384,1387,1387,-14.175,-169.618,639,On land
Okataina,https://volcano.si.edu/gallery/photos/GVP-01616.jpg,Lava dome(s),New Zealand,New Zealand to Fiji,New Zealand,holocene,1981 CE,"1111 m, 3645 ft",38.12°S,176.5°E,18,579,79591,362413,-38.12,176.5,1111,On land
Raoul Island,https://volcano.si.edu/gallery/photos/GVP-10441.jpg,Stratovolcano,New Zealand,New Zealand to Fiji,Kermadec Islands,holocene,2006 CE,"516 m, 1693 ft",29.27°S,177.92°W,0,0,0,0,-29.27,-177.92,516,On land
Ruapehu,https://volcano.si.edu/gallery/photos/GVP-00413.jpg,Stratovolcano,New Zealand,New Zealand to Fiji,New Zealand,holocene,2007 CE,"2797 m, 9177 ft",39.28°S,175.57°E,14,298,6901,119709,-39.28,175.57,2797,On land
Rumble II West,https://volcano.si.edu/gallery/photos/GVP-12101.jpg,Submarine,New Zealand,New Zealand to Fiji,New Zealand,holocene,Unknown - Unrest / Holocene,"-1200 m, -3937 ft",35.353°S,178.527°E,0,0,0,0,-35.353,178.527,-1200,Underwater
Rumble III,https://volcano.si.edu/gallery/photos/GVP-12042.jpg,Submarine,New Zealand,New Zealand to Fiji,New Zealand,holocene,2008 CE,"-220 m, -722 ft",35.745°S,178.478°E,0,0,0,0,-35.745,178.478,-220,Underwater
Rumble IV,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,New Zealand,New Zealand to Fiji,New Zealand,holocene,Unknown - Unrest / Holocene,"-500 m, -1640 ft",36.13°S,178.05°E,0,0,0,0,-36.13,178.05,-500,Underwater
Rumble V,https://volcano.si.edu/gallery/photos/GVP-12043.jpg,Submarine,New Zealand,New Zealand to Fiji,New Zealand,holocene,Unknown - Unrest / Holocene,"-400 m, -1312 ft",36.142°S,178.196°E,0,0,0,0,-36.142,178.196,-400,Underwater
Savai'i,https://volcano.si.edu/gallery/photos/GVP-11915.jpg,Shield,Samoa,New Zealand to Fiji,Samoan and Wallis Islands,holocene,1911 CE,"1858 m, 6096 ft",13.612°S,172.525°W,0,59,34215,188465,-13.612,-172.525,1858,On land
Tafahi,https://volcano.si.edu/gallery/photos/GVP-10796.jpg,Stratovolcano,Tonga,New Zealand to Fiji,Tonga Islands,holocene,Unknown - Evidence Uncertain,"560 m, 1837 ft",15.85°S,173.72°W,37,37,1706,1706,-15.85,-173.72,560,On land
Tafu-Maka,https://volcano.si.edu/gallery/photos/GVP-12106.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2008 CE,"-1400 m, -4593 ft",15.37°S,174.23°W,0,0,0,1755,-15.37,-174.23,-1400,Underwater
Tangaroa,https://volcano.si.edu/gallery/photos/GVP-12044.jpg,Submarine,New Zealand,New Zealand to Fiji,New Zealand,holocene,Unknown - Unrest / Holocene,"-600 m, -1969 ft",36.321°S,178.028°E,0,0,0,0,-36.321,178.028,-600,Underwater
Taranaki,https://volcano.si.edu/gallery/photos/GVP-00337.jpg,Stratovolcano,New Zealand,New Zealand to Fiji,New Zealand,holocene,1800 CE,"2518 m, 8261 ft",39.3°S,174.07°E,200,230,77381,104499,-39.3,174.07,2518,On land
Ta'u,https://volcano.si.edu/gallery/photos/GVP-12008.jpg,Shield,United States,New Zealand to Fiji,Samoan and Wallis Islands,holocene,Unknown - Evidence Credible,"931 m, 3054 ft",14.23°S,169.454°W,95,1154,1538,1538,-14.23,-169.454,931,On land
Taupo,https://volcano.si.edu/gallery/photos/GVP-01618.jpg,Caldera,New Zealand,New Zealand to Fiji,New Zealand,holocene,260 CE,"760 m, 2493 ft",38.82°S,176°E,21456,21456,26674,161966,-38.82,176,760,On land
Taveuni,https://volcano.si.edu/gallery/photos/GVP-12560.jpg,Shield,Fiji,New Zealand to Fiji,Fiji Islands,holocene,1550 CE,"1241 m, 4072 ft",16.82°S,179.97°W,692,3220,19186,146131,-16.82,-179.97,1241,On land
Tofua,https://volcano.si.edu/gallery/photos/GVP-10797.jpg,Caldera,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2022 CE,"515 m, 1690 ft",19.75°S,175.07°W,1556,1556,1556,8789,-19.75,-175.07,515,On land
Tongariro,https://volcano.si.edu/gallery/photos/GVP-01621.jpg,Stratovolcano(es),New Zealand,New Zealand to Fiji,New Zealand,holocene,2012 CE,"1978 m, 6490 ft",39.157°S,175.632°E,27,286,7591,81567,-39.157,175.632,1978,On land
Tutuila,https://volcano.si.edu/gallery/photos/GVP-12007.jpg,Tuff cone(s),United States,New Zealand to Fiji,Samoan and Wallis Islands,holocene,440 CE,"653 m, 2142 ft",14.295°S,170.7°W,16653,49763,56239,67387,-14.295,-170.7,653,On land
Unnamed,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,Unknown - Unrest / Holocene,"-385 m, -1263 ft",24.8°S,177.02°W,0,0,0,0,-24.8,-177.02,-385,Underwater
Unnamed,https://volcano.si.edu/gallery/photos/GVP-10798.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2017 CE,"-296 m, -971 ft",20.852°S,175.55°W,0,0,0,88571,-20.852,-175.55,-296,Underwater
Unnamed,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1932 CE,"-68 m, -223 ft",21.338°S,175.65°W,0,0,0,88771,-21.338,-175.65,-68,Underwater
Unnamed,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,Unknown - Evidence Credible,"-65 m, -213 ft",21.15°S,175.75°W,0,0,0,67409,-21.15,-175.75,-65,Underwater
Unnamed,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2001 CE,"-40 m, -131 ft",18.325°S,174.365°W,0,0,20,18153,-18.325,-174.365,-40,Underwater
Upolu,https://volcano.si.edu/gallery/photos/GVP-11916.jpg,Shield,Samoa,New Zealand to Fiji,Samoan and Wallis Islands,holocene,Unknown - Evidence Credible,"1100 m, 3609 ft",13.935°S,171.72°W,680,13753,144419,198677,-13.935,-171.72,1100,On land
Vailulu'u,https://volcano.si.edu/gallery/photos/GVP-11704.jpg,Submarine,United States,New Zealand to Fiji,Samoan and Wallis Islands,holocene,2003 CE,"-592 m, -1942 ft",14.215°S,169.058°W,0,0,0,1387,-14.215,-169.058,-592,Underwater
Wallis Islands,https://volcano.si.edu/gallery/photos/GVP-10466.jpg,Shield(s),France,New Zealand to Fiji,Samoan and Wallis Islands,holocene,Unknown - Evidence Credible,"143 m, 469 ft",13.3°S,176.17°W,6897,15214,15342,15342,-13.3,-176.17,143,On land
West Mata,https://volcano.si.edu/gallery/photos/GVP-12104.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2009 CE,"-1174 m, -3852 ft",15.1°S,173.75°W,0,0,0,1755,-15.1,-173.75,-1174,Underwater
Whakaari/White Island,https://volcano.si.edu/gallery/photos/GVP-01614.jpg,Stratovolcano(es),New Zealand,New Zealand to Fiji,New Zealand,holocene,2019 CE,"294 m, 965 ft",37.52°S,177.18°E,5,5,5,190290,-37.52,177.18,294,On land
Whangarei,https://volcano.si.edu/gallery/photos/GVP-08808.jpg,Pyroclastic cone(s),New Zealand,New Zealand to Fiji,New Zealand,holocene,Unknown - Evidence Uncertain,"397 m, 1302 ft",35.75°S,174.27°E,51419,51419,62244,145873,-35.75,174.27,397,On land
Wright,https://volcano.si.edu/gallery/photos/GVP-11876.jpg,Submarine(es),New Zealand,New Zealand to Fiji,Kermadec Islands,holocene,Unknown - Unrest / Holocene,"-900 m, -2953 ft",31.85°S,179.18°W,0,0,0,0,-31.85,-179.18,-900,Underwater
Ambalatungan Group,https://volcano.si.edu/gallery/photos/GVP-12608.jpg,Compound,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Unrest / Holocene,"2329 m, 7641 ft",17.32°N,121.1°E,493,3803,55724,4652400,17.32,121.1,2329,On land
Apo,https://volcano.si.edu/gallery/photos/GVP-11962.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Unrest / Holocene,"2938 m, 9639 ft",6.989°N,125.269°E,1355,5431,767800,7768291,6.989,125.269,2938,On land
Arayat,https://volcano.si.edu/gallery/photos/GVP-08955.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Uncertain,"1026 m, 3366 ft",15.2°N,120.742°E,7846,190674,2805269,27216491,15.2,120.742,1026,On land
Babuyan Claro,https://volcano.si.edu/gallery/photos/GVP-11932.jpg,Stratovolcano(es),Philippines,Philippines and SE Asia,North of Luzon,holocene,1924 CE,"1064 m, 3491 ft",19.524°N,121.95°E,208,222,222,11819,19.524,121.95,1064,On land
Balut,https://volcano.si.edu/gallery/photos/GVP-11049.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Unrest / Holocene,"862 m, 2828 ft",5.4°N,125.375°E,1472,1901,10763,1286239,5.4,125.375,862,On land
Banahaw,https://volcano.si.edu/gallery/photos/GVP-01864.jpg,Complex,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Credible,"2158 m, 7080 ft",14.07°N,121.48°E,754,93134,1698285,23837289,14.07,121.48,2158,On land
Biliran,https://volcano.si.edu/gallery/photos/GVP-12299.jpg,Compound,Philippines,Philippines and SE Asia,Central Philippines,holocene,1939 CE,"1301 m, 4268 ft",11.523°N,124.535°E,4612,78799,254519,3177850,11.523,124.535,1301,On land
Bulusan,https://volcano.si.edu/gallery/photos/GVP-01758.jpg,Stratovolcano(es),Philippines,Philippines and SE Asia,Luzon,holocene,2017 CE,"1535 m, 5036 ft",12.769°N,124.056°E,2789,74286,518705,3360418,12.769,124.056,1535,On land
Cabalían,https://volcano.si.edu/gallery/photos/GVP-12297.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Central Philippines,holocene,1820 CE,"912 m, 2992 ft",10.285°N,125.218°E,26511,88767,277950,2091362,10.285,125.218,912,On land
Cagua,https://volcano.si.edu/gallery/photos/GVP-11942.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,1860 CE,"1133 m, 3717 ft",18.222°N,122.123°E,99,1137,34018,1480952,18.222,122.123,1133,On land
Camiguin,https://volcano.si.edu/gallery/photos/GVP-11715.jpg,Stratovolcano(es),Philippines,Philippines and SE Asia,Mindanao,holocene,1953 CE,"1552 m, 5092 ft",9.203°N,124.673°E,12173,51587,92178,2871353,9.203,124.673,1552,On land
Camiguin de Babuyanes,https://volcano.si.edu/gallery/photos/GVP-12447.jpg,Stratovolcano,Philippines,Philippines and SE Asia,North of Luzon,holocene,1857 CE,"712 m, 2336 ft",18.83°N,121.86°E,876,1066,1369,409653,18.83,121.86,712,On land
"Cendres, Ile des",https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Vietnam,Philippines and SE Asia,Southeast Asia,holocene,1923 CE,"-20 m, -66 ft",10.158°N,109.014°E,0,0,0,8069,10.158,109.014,-20,Underwater
Cuernos de Negros,https://volcano.si.edu/gallery/photos/GVP-12015.jpg,Complex,Philippines,Philippines and SE Asia,Central Philippines,holocene,Unknown - Unrest / Holocene,"1862 m, 6109 ft",9.25°N,123.17°E,1458,39681,531644,2960980,9.25,123.17,1862,On land
Didicas,https://volcano.si.edu/gallery/photos/GVP-11935.jpg,Compound,Philippines,Philippines and SE Asia,North of Luzon,holocene,1978 CE,"228 m, 748 ft",19.077°N,122.202°E,0,0,132,52751,19.077,122.202,228,On land
Hainan Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-12558.jpg,Pyroclastic cone(s),China,Philippines and SE Asia,Southeast Asia,holocene,1933 CE,"196 m, 643 ft",19.905°N,110.229°E,1731229,1731229,1731229,6213231,19.905,110.229,196,On land
Iraya,https://volcano.si.edu/gallery/photos/GVP-11937.jpg,Stratovolcano,Philippines,Philippines and SE Asia,North of Luzon,holocene,1454 CE,"1009 m, 3310 ft",20.469°N,122.01°E,3087,4118,8255,12873,20.469,122.01,1009,On land
Iriga,https://volcano.si.edu/gallery/photos/GVP-01849.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Credible,"1138 m, 3734 ft",13.458°N,123.451°E,3712,142254,1159509,4399866,13.458,123.451,1138,On land
Isarog,https://volcano.si.edu/gallery/photos/GVP-01862.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,3500 BCE,"1966 m, 6450 ft",13.658°N,123.38°E,146,27806,1208269,4291363,13.658,123.38,1966,On land
Kalatungan,https://volcano.si.edu/gallery/photos/GVP-12605.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Evidence Uncertain,"2824 m, 9265 ft",7.95°N,124.8°E,418,27005,359527,5273061,7.95,124.8,2824,On land
Kanlaon,https://volcano.si.edu/gallery/photos/GVP-11934.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Central Philippines,holocene,2017 CE,"2435 m, 7989 ft",10.412°N,123.132°E,1662,40276,923257,9345000,10.412,123.132,2435,On land
Laguna Caldera,https://volcano.si.edu/gallery/photos/GVP-09109.jpg,Caldera,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Unrest / Holocene,"743 m, 2438 ft",14.42°N,121.27°E,625567,625567,7073814,26270664,14.42,121.27,743,On land
Leonard Range,https://volcano.si.edu/gallery/photos/GVP-12289.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,120 CE,"1080 m, 3543 ft",7.382°N,126.047°E,908,3682,451047,4321874,7.382,126.047,1080,On land
Ly Son Group,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Vietnam,Philippines and SE Asia,Southeast Asia,holocene,Unknown - Evidence Credible,"157 m, 515 ft",15.38°N,109.12°E,700,700,29181,2303467,15.38,109.12,157,On land
Mahagnao,https://volcano.si.edu/gallery/photos/GVP-12298.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Central Philippines,holocene,Unknown - Unrest / Holocene,"860 m, 2822 ft",10.882°N,124.888°E,11,4338,66949,827590,10.882,124.888,860,On land
Makaturing,https://volcano.si.edu/gallery/photos/GVP-11151.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,1882 CE,"1818 m, 5965 ft",7.644°N,124.317°E,1501,9752,418007,6142586,7.644,124.317,1818,On land
Malindang,https://volcano.si.edu/gallery/photos/GVP-11134.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Evidence Credible,"2404 m, 7887 ft",8.22°N,123.63°E,317,13659,731423,4044299,8.22,123.63,2404,On land
Malindig,https://volcano.si.edu/gallery/photos/GVP-12606.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Credible,"1157 m, 3796 ft",13.24°N,122.018°E,8066,21486,217286,2639049,13.24,122.018,1157,On land
Mandalagan,https://volcano.si.edu/gallery/photos/GVP-11139.jpg,Complex,Philippines,Philippines and SE Asia,Central Philippines,holocene,Unknown - Unrest / Holocene,"1885 m, 6184 ft",10.65°N,123.25°E,563,6491,765974,9390672,10.65,123.25,1885,On land
Mariveles,https://volcano.si.edu/gallery/photos/GVP-09103.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,2050 BCE,"1388 m, 4554 ft",14.527°N,120.482°E,903,48079,455154,25981912,14.527,120.482,1388,On land
Masaraga,https://volcano.si.edu/gallery/photos/GVP-01833.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Credible,"1328 m, 4357 ft",13.32°N,123.6°E,14744,141095,1390760,4193903,13.32,123.6,1328,On land
Matutum,https://volcano.si.edu/gallery/photos/GVP-11938.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,1290 CE,"2286 m, 7500 ft",6.37°N,125.07°E,855,10431,822372,5316209,6.37,125.07,2286,On land
Mayon,https://volcano.si.edu/gallery/photos/GVP-01777.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,2019 CE,"2462 m, 8077 ft",13.257°N,123.685°E,4350,248448,1166441,4142375,13.257,123.685,2462,On land
Musuan,https://volcano.si.edu/gallery/photos/GVP-11939.jpg,Lava dome,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Evidence Uncertain,"646 m, 2119 ft",7.877°N,125.068°E,67591,134114,517243,6198562,7.877,125.068,646,On land
